From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q13191	Q13191	reviewed	CBLB_HUMAN	E3 ubiquitin-protein ligase CBL-B, EC 2.3.2.27 (Casitas B-lineage lymphoma proto-oncogene b) (RING finger protein 56) (RING-type E3 ubiquitin transferase CBL-B) (SH3-binding protein CBL-B) (Signal transduction protein CBL-B)	CBLB RNF56 Nbla00127	Homo sapiens (Human)	982
P21575	P21575	reviewed	DYN1_RAT	Dynamin-1, EC 3.6.5.5 (B-dynamin) (D100) (Dynamin, brain)	Dnm1 Dnm	Rattus norvegicus (Rat)	864
O89053	O89053	reviewed	COR1A_MOUSE	Coronin-1A (Coronin-like protein A, Clipin-A) (Coronin-like protein p57) (Tryptophan aspartate-containing coat protein, TACO)	Coro1a Coro1	Mus musculus (Mouse)	461
P0AG99	P0AG99	reviewed	SECG_ECOLI	Protein-export membrane protein SecG (P12) (Preprotein translocase band 1 subunit)	secG b3175 JW3142	Escherichia coli (strain K12)	110
P0AGA2	P0AGA2	reviewed	SECY_ECOLI	Protein translocase subunit SecY	secY prlA b3300 JW3262	Escherichia coli (strain K12)	443
P0AG96	P0AG96	reviewed	SECE_ECOLI	Protein translocase subunit SecE	secE prlG b3981 JW3944	Escherichia coli (strain K12)	127
P05314	P05314	reviewed	NIR_SPIOL	Ferredoxin--nitrite reductase, chloroplastic, EC 1.7.7.1	NIR	Spinacia oleracea (Spinach)	594
Q6N1A7	Q6N1A7	unreviewed	Q6N1A7_RHOPA	PhnA-like protein	RPA4501	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	72
Q9I704	Q9I704	unreviewed	Q9I704_PSEAE	Uncharacterized protein	PA0128	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	113
Q9PJ29	Q9PJ29	reviewed	PROB_CAMJE	Glutamate 5-kinase, EC 2.7.2.11 (Gamma-glutamyl kinase, GK)	proB Cj0097	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	251
Q8VBT9	Q8VBT9	reviewed	ASPC1_MOUSE	Tether containing UBX domain for GLUT4 (Alveolar soft part sarcoma chromosomal region candidate gene 1 protein homolog)	Aspscr1 Tug	Mus musculus (Mouse)	550
Q9NVJ2	Q9NVJ2	reviewed	ARL8B_HUMAN	ADP-ribosylation factor-like protein 8B, EC 3.6.5.2 (ADP-ribosylation factor-like protein 10C) (Novel small G protein indispensable for equal chromosome segregation 1)	ARL8B ARL10C GIE1	Homo sapiens (Human)	186
P30101	P30101	reviewed	PDIA3_HUMAN	Protein disulfide-isomerase A3, EC 5.3.4.1 (58 kDa glucose-regulated protein) (58 kDa microsomal protein, p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57, ER protein 57, ERp57) (Endoplasmic reticulum resident protein 60, ER protein 60, ERp60)	PDIA3 ERP57 ERP60 GRP58	Homo sapiens (Human)	505
P81402	P81402	reviewed	NLTP1_PRUPE	Non-specific lipid-transfer protein 1, LTP 1 (Allergen Pru p 1) (Major allergen Pru p 3) (allergen Pru p 3)		Prunus persica (Peach) (Amygdalus persica)	91
P14550	P14550	reviewed	AK1A1_HUMAN	Aldo-keto reductase family 1 member A1, EC 1.1.1.2, EC 1.1.1.372, EC 1.1.1.54 (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase, EC 1.1.1.19) (Glucuronolactone reductase, EC 1.1.1.20)	AKR1A1 ALDR1 ALR	Homo sapiens (Human)	325
Q8DNV6	Q8DNV6	unreviewed	Q8DNV6_STRR6	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase, EC 6.3.2.10 (D-alanyl-D-alanine-adding enzyme)	murF spr1514	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	457
P0AEY7	P0AEY7	reviewed	MDAB_ECO57	NADPH:quinone oxidoreductase MdaB, EC 1.6.5.10 (Modulator of drug activity B)	mdaB Z4379 ECs3910	Escherichia coli O157:H7	193
Q6QLQ5	Q6QLQ5	reviewed	CTHL1_CHICK	Cathelicidin-1, CATH-1 (Fowlicidin-1)	CATHL1 CATH	Gallus gallus (Chicken)	148
Q9WZC6	Q9WZC6	reviewed	SOR_THEMA	Putative superoxide reductase, SOR, EC 1.15.1.2	TM_0658	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	131
Q7RMV2	Q7RMV2	unreviewed	Q7RMV2_PLAYO	Adenosine deaminase, EC 3.5.4.4	PY02076	Plasmodium yoelii yoelii	364
O15305	O15305	reviewed	PMM2_HUMAN	Phosphomannomutase 2, PMM 2, EC 5.4.2.8	PMM2	Homo sapiens (Human)	246
P65774	P65774	reviewed	NADK_SALTY	NAD kinase, EC 2.7.1.23 (ATP-dependent NAD kinase)	nadK STM2683	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	292
P22995	P22995	reviewed	PARD_ECOLX	Antitoxin ParD	parD	Escherichia coli	83
O60990	O60990	unreviewed	O60990_PLAMA	Plasmepsin (Plasmepsin IV, putative (PM4)) (Plasmepsin, putative)	PmUG01_13050400 PmlGA01_130044400 PMALA_027650 PMLGA01_130044400 PMUG01_13050400	Plasmodium malariae	451
Q9WZ29	Q9WZ29	unreviewed	Q9WZ29_THEMA	POLIIIAc domain-containing protein	TM_0559	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	243
P09963	P09963	reviewed	ENLYS_BPP22	Endolysin, EC 3.2.1.17 (Lysis protein) (Lysozyme) (Muramidase)	19	Salmonella phage P22 (Bacteriophage P22)	146
P03952	P03952	reviewed	KLKB1_HUMAN	Plasma kallikrein, EC 3.4.21.34 (Fletcher factor) (Kininogenin) (Plasma prekallikrein, PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain ]	KLKB1 KLK3	Homo sapiens (Human)	638
P9WIB9	P9WIB9	reviewed	SCMU_MYCTU	Secreted chorismate mutase, CM, EC 5.4.99.5 (*MtCM)	Rv1885c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	199
Q10741	Q10741	reviewed	ADA10_BOVIN	Disintegrin and metalloproteinase domain-containing protein 10, ADAM 10, EC 3.4.24.81 (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (Myelin-associated metalloproteinase) (CD antigen CD156c)	ADAM10 MADM	Bos taurus (Bovine)	748
Q81ES4	Q81ES4	unreviewed	Q81ES4_BACCR	Phage protein	BC_1890	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)	155
P44688	P44688	reviewed	MUTH_HAEIN	DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein)	mutH HI_0403	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	223
P82950	P82950	reviewed	PA2HB_ATRNM	Basic phospholipase A2 homolog, svPLA2 homolog (Myotoxin II)		Atropoides nummifer (Jumping pit viper) (Porthidium nummifer)	121
Q8ZPZ9	Q8ZPZ9	reviewed	NAGK_SALTY	N-acetyl-D-glucosamine kinase, EC 2.7.1.59 (GlcNAc kinase)	nagK ycfX STM1220	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	303
A0A0H3JVL5	A0A0H3JVL5	unreviewed	A0A0H3JVL5_STAAW	Uncharacterized protein	MW0975	Staphylococcus aureus (strain MW2)	208
A9CGA4	A9CGA4	unreviewed	A9CGA4_AGRFC	NIPSNAP domain-containing protein	Atu4242	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	104
P82285	P82285	reviewed	BMNH5_BOMVA	Bombinin-H5		Bombina variegata (Yellow-bellied toad)	21
P9WQ01	P9WQ01	reviewed	ARGB_MYCTU	Acetylglutamate kinase, EC 2.7.2.8 (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase, NAGK)	argB Rv1654 MTCY06H11.19	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	294
A2NAI0	A2NAI0	unreviewed	A2NAI0_RAT	Variable region-beta 8.5		Rattus norvegicus (Rat)	95
P95480	P95480	reviewed	PRNA_PSEFL	Flavin-dependent tryptophan halogenase PrnA, EC 1.14.19.9	prnA	Pseudomonas fluorescens	538
Q8L9J9	Q8L9J9	reviewed	CAES_ARATH	Probable carbohydrate esterase At4g34215, EC 3.1.-.-	At4g34215 F10M10.12 F28A23_20	Arabidopsis thaliana (Mouse-ear cress)	260
Q7MW33	Q7MW33	unreviewed	Q7MW33_PORGI	Uncharacterized protein	PG_0816	Porphyromonas gingivalis (strain ATCC BAA-308 / W83)	157
P45344	P45344	reviewed	ERPA_HAEIN	Iron-sulfur cluster insertion protein ErpA	erpA HI_1723	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	114
Q57612	Q57612	reviewed	TRUB_METJA	Probable tRNA pseudouridine synthase B, EC 5.4.99.25 (tRNA pseudouridine(55) synthase, Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	truB MJ0148	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	336
P81303	P81303	reviewed	NOP10_METJA	Ribosome biogenesis protein Nop10	nop10 MJ0116.1	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	60
P24702	P24702	reviewed	SODC_ACTPL	Superoxide dismutase [Cu-Zn], EC 1.15.1.1	sodC	Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae)	190
P12689	P12689	reviewed	REV1_YEAST	DNA repair protein REV1, EC 2.7.7.- (Reversionless protein 1)	REV1 YOR346W O6339	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	985
Q8CHV6	Q8CHV6	reviewed	TAD2A_MOUSE	Transcriptional adapter 2-alpha (Transcriptional adapter 2-like, ADA2-like protein)	Tada2a Tada2l	Mus musculus (Mouse)	443
Q9UBU8	Q9UBU8	reviewed	MO4L1_HUMAN	Mortality factor 4-like protein 1 (MORF-related gene 15 protein) (Protein MSL3-1) (Transcription factor-like protein MRG15)	MORF4L1 MRG15 FWP006 HSPC008 HSPC061 PP368	Homo sapiens (Human)	362
P57005	P57005	reviewed	SODC_NEIMA	Superoxide dismutase [Cu-Zn], EC 1.15.1.1	sodC NMA1617	Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491)	186
Q59623	Q59623	reviewed	SODC_NEIMB	Superoxide dismutase [Cu-Zn], EC 1.15.1.1	sodC NMB1398	Neisseria meningitidis serogroup B (strain MC58)	186
Q7RPE4	Q7RPE4	unreviewed	Q7RPE4_PLAYO	Orotidine-5'-phosphate decarboxylase, EC 4.1.1.23	PY01515	Plasmodium yoelii yoelii	332
B2RXC2	B2RXC2	unreviewed	B2RXC2_MOUSE	Kinase, EC 2.7.-.-	Itpkb	Mus musculus (Mouse)	942
P08957	P08957	reviewed	T1MK_ECOLI	Type I restriction enzyme EcoKI methylase subunit, M protein, EC 2.1.1.72 (Type I methyltransferase M.EcoKI, M.EcoKI)	hsdM hsm b4349 JW4312	Escherichia coli (strain K12)	529
Q4Q067	Q4Q067	unreviewed	Q4Q067_LEIMA	EVE domain-containing protein	LMJF_36_6870	Leishmania major	164
O00443	O00443	reviewed	P3C2A_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha, PI3K-C2-alpha, PtdIns-3-kinase C2 subunit alpha, EC 2.7.1.137, EC 2.7.1.153, EC 2.7.1.154 (Phosphoinositide 3-kinase-C2-alpha)	PIK3C2A	Homo sapiens (Human)	1686
P27144	P27144	reviewed	KAD4_HUMAN	Adenylate kinase 4, mitochondrial, AK 4, EC 2.7.4.10, EC 2.7.4.6 (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)	AK4 AK3 AK3L1	Homo sapiens (Human)	223
P35670	P35670	reviewed	ATP7B_HUMAN	Copper-transporting ATPase 2, EC 7.2.2.8 (Copper pump 2) (Wilson disease-associated protein) [Cleaved into: WND/140 kDa ]	ATP7B PWD WC1 WND	Homo sapiens (Human)	1465
O67778	O67778	unreviewed	O67778_AQUAE	Uncharacterized protein	aq_1966	Aquifex aeolicus (strain VF5)	201
P03375	P03375	reviewed	ENV_HV1B1	Envelope glycoprotein gp160 (Env polyprotein) [Cleaved into: Surface protein gp120, SU (Glycoprotein 120, gp120); Transmembrane protein gp41, TM (Glycoprotein 41, gp41) ]	env	Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1)	856
O67866	O67866	reviewed	FLAV_AQUAE	Flavodoxin	fldA floX aq_2096	Aquifex aeolicus (strain VF5)	185
P0C1H3	P0C1H3	reviewed	H2B1_CHICK	Histone H2B 1/2/3/4/6 (H2B I) (H2B II) (H2B III) (H2B IV) (H2B VI)	H2B-I; H2B-II; H2B-III; H2B-IV; H2B-VI	Gallus gallus (Chicken)	126
Q9HKT1	Q9HKT1	reviewed	LPLAN_THEAC	Lipoate-protein ligase A subunit 1, EC 6.3.1.20 (Lipoate--protein ligase subunit 1)	lplA Ta0514	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	262
Q9HW16	Q9HW16	unreviewed	Q9HW16_PSEAE	DUF2470 domain-containing protein	PA4388	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	244
O59578	O59578	unreviewed	O59578_PYRHO	PUA domain-containing protein	PH1915	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	396
Q2FXC4	Q2FXC4	reviewed	SPLC_STAA8	Serine protease SplC, EC 3.4.21.-	splC SAOUHSC_01939	Staphylococcus aureus (strain NCTC 8325 / PS 47)	239
P9WLL7	P9WLL7	reviewed	FBVR_MYCTU	F420H(2)-dependent biliverdin reductase, F-BVR, EC 1.3.98.-	Rv2074 MTCY49.13	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	137
Q9X1P7	Q9X1P7	reviewed	TGT_THEMA	Queuine tRNA-ribosyltransferase, EC 2.4.2.29 (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt TM_1561	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	369
P00799	P00799	reviewed	CARP_RHIMI	Mucorpepsin, EC 3.4.23.23 (Mucor rennin)		Rhizomucor miehei	430
Q5T4W7	Q5T4W7	reviewed	ARTN_HUMAN	Artemin (Enovin) (Neublastin)	ARTN EVN	Homo sapiens (Human)	220
O75928	O75928	reviewed	PIAS2_HUMAN	E3 SUMO-protein ligase PIAS2, EC 2.3.2.- (Androgen receptor-interacting protein 3, ARIP3) (DAB2-interacting protein, DIP) (E3 SUMO-protein transferase PIAS2) (Msx-interacting zinc finger protein, Miz1) (PIAS-NY protein) (Protein inhibitor of activated STAT x) (Protein inhibitor of activated STAT2)	PIAS2 PIASX	Homo sapiens (Human)	621
P07017	P07017	reviewed	MCP2_ECOLI	Methyl-accepting chemotaxis protein II, MCP-II (Aspartate chemoreceptor protein)	tar cheM b1886 JW1875	Escherichia coli (strain K12)	553
P26927	P26927	reviewed	HGFL_HUMAN	Hepatocyte growth factor-like protein (Macrophage stimulatory protein) (Macrophage-stimulating protein, MSP) [Cleaved into: Hepatocyte growth factor-like protein alpha chain; Hepatocyte growth factor-like protein beta chain ]	MST1 D3F15S2 DNF15S2 HGFL	Homo sapiens (Human)	711
P05654	P05654	reviewed	PYRB_BACSU	Aspartate carbamoyltransferase, EC 2.1.3.2 (Aspartate transcarbamylase, ATCase)	pyrB BSU15490	Bacillus subtilis (strain 168)	304
P60334	P60334	reviewed	CDO1_MOUSE	Cysteine dioxygenase type 1, EC 1.13.11.20 (Cysteine dioxygenase type I, CDO, CDO-I)	Cdo1	Mus musculus (Mouse)	200
P49370	P49370	reviewed	HUGAA_VESVU	Hyaluronidase A, Hya A, EC 3.2.1.35 (Allergen Ves v II) (Hyaluronoglucosaminidase A) (allergen Ves v 2a)		Vespula vulgaris (Yellow jacket) (Wasp)	331
P10300	P10300	reviewed	CD8B_MOUSE	T-cell surface glycoprotein CD8 beta chain (Lymphocyte antigen 3) (T-cell membrane glycoprotein Ly-3) (T-cell surface glycoprotein Lyt-3) (CD antigen CD8b)	Cd8b Cd8b1 Ly-3 Lyt-3 Lyt3	Mus musculus (Mouse)	213
A0A0H2UND0	A0A0H2UND0	unreviewed	A0A0H2UND0_STRPN	Acetyltransferase, GNAT family	SP_0256	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	138
Q96A58	Q96A58	reviewed	RERG_HUMAN	Ras-related and estrogen-regulated growth inhibitor, EC 3.6.5.2	RERG	Homo sapiens (Human)	199
P17081	P17081	reviewed	RHOQ_HUMAN	Rho-related GTP-binding protein RhoQ (Ras-like protein TC10) (Ras-like protein family member 7A)	RHOQ ARHQ RASL7A TC10	Homo sapiens (Human)	205
O24984	O24984	unreviewed	O24984_HELPY	DUF1882 domain-containing protein	HP_0184	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	180
Q7DAM2	Q7DAM2	unreviewed	Q7DAM2_STRP1	Mac-1 domain-containing protein	SPy_0861	Streptococcus pyogenes serotype M1	339
O67465	O67465	reviewed	DNAG_AQUAE	DNA primase, EC 2.7.7.101	dnaG aq_1493	Aquifex aeolicus (strain VF5)	498
Q82ZV0	Q82ZV0	unreviewed	Q82ZV0_ENTFA	Uncharacterized protein	EF_2947	Enterococcus faecalis (strain ATCC 700802 / V583)	136
Q81DM5	Q81DM5	unreviewed	Q81DM5_BACCR	Uncharacterized protein	BC_2332	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)	200
D0VWV5	D0VWV5	unreviewed	D0VWV5_PLAKN	Myosin A Tail Interacting Protein		Plasmodium knowlesi	126
Q7RQ71	Q7RQ71	reviewed	MYOA_PLAYO	Myosin-A	MyoA PY01232	Plasmodium yoelii yoelii	817
Q14449	Q14449	reviewed	GRB14_HUMAN	Growth factor receptor-bound protein 14 (GRB14 adapter protein)	GRB14	Homo sapiens (Human)	540
P0A8T7	P0A8T7	reviewed	RPOC_ECOLI	DNA-directed RNA polymerase subunit beta', RNAP subunit beta', EC 2.7.7.6 (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC tabB b3988 JW3951	Escherichia coli (strain K12)	1407
Q9V1A5	Q9V1A5	reviewed	TRUB_PYRAB	Probable tRNA pseudouridine synthase B, EC 5.4.99.25 (tRNA pseudouridine(55) synthase, Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	truB PYRAB05220 PAB0356	Pyrococcus abyssi (strain GE5 / Orsay)	334
Q9V0E3	Q9V0E3	reviewed	NOP10_PYRAB	Ribosome biogenesis protein Nop10	nop10 PYRAB08470 PAB7213	Pyrococcus abyssi (strain GE5 / Orsay)	60
Q46505	Q46505	reviewed	HNDA_SOLFR	NADP-reducing hydrogenase subunit HndA, EC 1.12.1.3 (Hydrogen dehydrogenase (NADP(+)))	hndA	Solidesulfovibrio fructosivorans (Desulfovibrio fructosivorans)	171
Q82X29	Q82X29	unreviewed	Q82X29_NITEU	Uncharacterized protein	NE0471	Nitrosomonas europaea (strain ATCC 19718 / CIP 103999 / KCTC 2705 / NBRC 14298)	166
Q7R866	Q7R866	unreviewed	Q7R866_PLAYO	Drosophila melanogaster RE13747p	PY07357	Plasmodium yoelii yoelii	142
Q8U151	Q8U151	reviewed	RNP2_PYRFU	Ribonuclease P protein component 2, RNase P component 2, EC 3.1.26.5 (Pop5)	rnp2 PF1378	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	120
Q9HU04	Q9HU04	unreviewed	Q9HU04_PSEAE	4HBT domain-containing protein	PA5185	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	147
P07854	P07854	reviewed	ACP1_SPIOL	Acyl carrier protein 1, chloroplastic, ACP I, Acyl carrier protein I	ACL1.1	Spinacia oleracea (Spinach)	138
Q86VU5	Q86VU5	reviewed	CMTD1_HUMAN	Catechol O-methyltransferase domain-containing protein 1, EC 2.1.1.-	COMTD1 UNQ766/PRO1558	Homo sapiens (Human)	262
Q9REU3	Q9REU3	unreviewed	Q9REU3_DESVU	Hemerythrin-like domain protein DcrH	dcrH	Desulfovibrio vulgaris	136
Q9X1A9	Q9X1A9	unreviewed	Q9X1A9_THEMA	Ubiquinone/menaquinone biosynthesis methyltransferase-related protein	TM_1389	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	248
Q7SSI0	Q7SSI0	unreviewed	Q7SSI0_9HIV1	Protease	pol	Human immunodeficiency virus 1	99
Q9EVR1	Q9EVR1	unreviewed	Q9EVR1_STRPY	Beta sliding clamp (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	dnaN	Streptococcus pyogenes	378
P0ABY7	P0ABY7	reviewed	FLHC_ECOLI	Flagellar transcriptional regulator FlhC	flhC flaI b1891 JW1880	Escherichia coli (strain K12)	192
P07026	P07026	reviewed	SDIA_ECOLI	Regulatory protein SdiA	sdiA b1916 JW1901	Escherichia coli (strain K12)	240
Q7Z6A9	Q7Z6A9	reviewed	BTLA_HUMAN	B- and T-lymphocyte attenuator (B- and T-lymphocyte-associated protein) (CD antigen CD272)	BTLA	Homo sapiens (Human)	289
P48163	P48163	reviewed	MAOX_HUMAN	NADP-dependent malic enzyme, NADP-ME, EC 1.1.1.40 (Malic enzyme 1)	ME1	Homo sapiens (Human)	572
Q04114	Q04114	unreviewed	Q04114_ENTFL	Helix-turn-helix domain-containing protein (Pheromone cCF10 receptor) (PrgX)	prgX GTI81_15620	Enterococcus faecalis (Streptococcus faecalis)	317
O06672	O06672	reviewed	DPO3B_STRPN	Beta sliding clamp, Beta clamp, Sliding clamp (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	dnaN SP_0002	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	378
Q833W9	Q833W9	reviewed	LACC_ENTFA	Tagatose-6-phosphate kinase, EC 2.7.1.144 (Phosphotagatokinase)	lacC EF_1806	Enterococcus faecalis (strain ATCC 700802 / V583)	313
P62253	P62253	reviewed	UB2G1_HUMAN	Ubiquitin-conjugating enzyme E2 G1, EC 2.3.2.23 (E2 ubiquitin-conjugating enzyme G1) (E217K) (UBC7) (Ubiquitin carrier protein G1) (Ubiquitin-protein ligase G1) [Cleaved into: Ubiquitin-conjugating enzyme E2 G1, N-terminally processed ]	UBE2G1 UBE2G	Homo sapiens (Human)	170
Q14318	Q14318	reviewed	FKBP8_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP8, PPIase FKBP8, EC 5.2.1.8 (38 kDa FK506-binding protein, 38 kDa FKBP, FKBP-38, hFKBP38) (FK506-binding protein 8, FKBP-8) (FKBPR38) (Rotamase)	FKBP8 FKBP38	Homo sapiens (Human)	412
D0VWV6	D0VWV6	unreviewed	D0VWV6_PLAKN	Superoxide dismutase, EC 1.15.1.1	FeSOD PKNOH_S140243200	Plasmodium knowlesi	198
P19490	P19490	reviewed	GRIA1_RAT	Glutamate receptor 1, GluR-1 (AMPA-selective glutamate receptor 1) (GluR-A) (GluR-K1) (Glutamate receptor ionotropic, AMPA 1, GluA1)	Gria1 Glur1	Rattus norvegicus (Rat)	907
Q9X024	Q9X024	reviewed	NNR_THEMA	Bifunctional NAD(P)H-hydrate repair enzyme Nnr (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase, EC 4.2.1.136 (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase, EC 5.1.99.6 (NAD(P)HX epimerase) ]	nnr TM_0922	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	490
O95340	O95340	reviewed	PAPS2_HUMAN	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2, PAPS synthase 2, PAPSS 2 (Sulfurylase kinase 2, SK 2, SK2) [Includes: Sulfate adenylyltransferase, EC 2.7.7.4 (ATP-sulfurylase) (Sulfate adenylate transferase, SAT); Adenylyl-sulfate kinase, EC 2.7.1.25 (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase) ]	PAPSS2 ATPSK2	Homo sapiens (Human)	614
P40554	P40554	reviewed	URM1_YEAST	Ubiquitin-related modifier 1	URM1 YIL008W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	99
P84777	P84777	reviewed	KA156_TITDI	Potassium channel toxin alpha-KTx 15.6 (Discrepin)		Tityus discrepans (Venezuelan scorpion)	61
Q14191	Q14191	reviewed	WRN_HUMAN	Werner syndrome ATP-dependent helicase, EC 3.6.4.12 (DNA helicase, RecQ-like type 3, RecQ3) (Exonuclease WRN, EC 3.1.-.-) (RecQ protein-like 2)	WRN RECQ3 RECQL2	Homo sapiens (Human)	1432
Q16875	Q16875	reviewed	F263_HUMAN	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3, 6PF-2-K/Fru-2,6-P2ase 3, PFK/FBPase 3 (6PF-2-K/Fru-2,6-P2ase brain/placenta-type isozyme) (Renal carcinoma antigen NY-REN-56) (iPFK-2) [Includes: 6-phosphofructo-2-kinase, EC 2.7.1.105; Fructose-2,6-bisphosphatase, EC 3.1.3.46 ]	PFKFB3	Homo sapiens (Human)	520
A9CHH7	A9CHH7	unreviewed	A9CHH7_AGRFC	Uncharacterized protein	Atu2684	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	221
O31896	O31896	reviewed	YORR_BACSU	SPbeta prophage-derived uncharacterized protein YorR	yorR BSU20280	Bacillus subtilis (strain 168)	165
P38999	P38999	reviewed	LYS9_YEAST	Saccharopine dehydrogenase [NADP(+), L-glutamate-forming], EC 1.5.1.10 (Saccharopine reductase)	LYS9 LYS13 YNR050C N3461	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	446
Q47038	Q47038	reviewed	AFAD_ECOLX	Protein AfaD	afaD	Escherichia coli	147
Q15366	Q15366	reviewed	PCBP2_HUMAN	Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2, hnRNP E2)	PCBP2	Homo sapiens (Human)	365
Q9SI37	Q9SI37	reviewed	WRKY1_ARATH	WRKY transcription factor 1 (Transcription factor ZAP1) (WRKY DNA-binding protein 1) (Zinc-dependent activator protein 1)	WRKY1 ZAP1 At2g04880 F1O13.1 F28I8.34	Arabidopsis thaliana (Mouse-ear cress)	487
P42778	P42778	reviewed	AMPT_THET8	Aminopeptidase T, AP-T, EC 3.4.11.- (Heat-stable aminopeptidase)	TTHA1152	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	408
